pydi_id,player_name,positions_position,clubs_club,nationality,matches_played_3s,minutes_played_3s,goals_3s,assists_3s,penalty_goals_3s,tackles_won_percentage_3s,goals_per_shot_3s,pass_completion_percentage_3s,save_percentage_3s,clean_sheet_percentage_3s,penalty_save_percentage_3s
left_000000,Aaron Anselmino,DF,Dortmund,ARG,1,75,0,0,0,100,0,93.59,0,0,0
left_000001,Aaron Cresswell,"DF, DF,FW",West Ham,ENG,39,2671,0,1,0,54.17,0,78.64,0,0,0
left_000002,Aaron Hickey,DF,Brentford,SCO,39,2726,0,1,0,63.16,0,84.12,0,0,0
left_000003,Aaron Malouda,FW,Lille,FRA,1,1,0,0,0,0,0,0,0,0,0
left_000004,Aaron Meijers,DF,"RKC Waalwijk, ""Sparta Rdam""",NED,58,3353,0,6,0,50.57,0,71.55,0,0,0
left_000005,Aaron Mejía Montoya,"DF,MF, DF",Tijuana,MEX,41,2521,0,1,0,70.83,0,79.53,0,0,0
left_000006,Aaron Ramsdale,GK,Arsenal,ENG,44,3960,0,0,0,100,0,68.67,68.67,36.36,0
left_000007,Aaron Ramsey,"MF,FW, MF","Burnley, Nice",WAL,41,2111,1,1,0,60.94,0.04,83.37,0,0,0
left_000008,Aaron Seydel,FW,Darmstadt 98,GER,16,619,1,0,0,66.67,0.07,57.89,0,0,0
left_000009,Aaron Wan-Bissaka,DF,"West Ham, Manchester Utd",COD,43,3395,0,2,0,61.45,0,83.77,0,0,0
left_000010,Aaron Zehnter,DF,"Augsburg, Wolfsburg",GER,4,181,1,0,0,50,0.5,75.7,0,0,0
left_000011,Aarón Arredondo,MF,América,MEX,2,179,0,1,0,66.67,0,90.48,0,0,0
left_000012,Aarón Escandell,GK,"Oviedo, Las Palmas",ESP,9,783,0,0,0,0,0,69.64,69.81,11.11,100
left_000013,Aarón Martín,DF,"Genoa, Mainz 05",ESP,55,3666,5,4,0,60.27,0.2,72.27,0,0,0
left_000014,Abakar Sylla,DF,"Strasbourg, Club Brugge",CIV,39,3074,2,0,0,45.68,0.1,86.93,0,0,0
left_000015,Abass Issah,"MF,FW, FW,MF",Chaves,GHA,33,1680,4,2,0,41.18,0.1,73.15,0,0,0
left_000016,Abbas Ibrahim,"MF,DF",Paços de Ferreira,NGA,7,328,0,0,0,66.67,0,89.5,0,0,0
left_000017,Abdallah Sima,"MF, FW","Angers, Lens",SEN,35,1881,5,1,0,59.09,0.13,73.06,0,0,0
left_000018,Abde Ezzalzouli,"FW,MF, FW","Betis, Osasuna, Barcelona",MAR,59,2601,6,3,0,70.59,0.07,67.16,0,0,0
left_000019,Abde Rebbach,"FW,MF, MF",Alavés,ALG,28,968,1,0,0,37.5,0.04,59.59,0,0,0
left_000020,Abdel Abqar,DF,"Getafe, Alavés",MAR,32,2699,0,1,0,55.77,0,72.9,0,0,0
left_000021,Abdelhamid Ait Boudlal,DF,Rennes,MAR,2,75,0,0,0,100,0,84.85,0,0,0
left_000022,Abdelhamid Sabiri,"MF,FW",Sampdoria,MAR,18,1069,2,0,1,38.89,0.06,67.25,0,0,0
left_000023,Abdelkahar Kadri,"MF,FW",Kortrijk,ALG,66,5162,9,10,1,53.79,0.09,76.67,0,0,0
left_000024,Abdellah Baallal,MF,Clermont Foot,MAR,1,4,0,0,0,0,0,75,0,0,0
left_000025,Abdellah Raihani,FW,Atlético Madrid,MAR,1,10,0,0,0,0,0,0,0,0,0
left_000026,Abdenego Nankishi,FW,Heracles Almelo,GER,10,347,3,1,0,61.54,0.75,73.08,0,0,0
left_000027,Abdou Diallo,"DF,MF",RB Leipzig,SEN,8,478,1,0,0,83.33,0.25,84.78,0,0,0
left_000028,Abdou Harroui,"MF,FW, MF","Hellas Verona, Sassuolo, Frosinone",NED,43,1736,5,3,1,45.24,0.11,80.61,0,0,0
left_000029,Abdoul Coulibaly,DF,Werder Bremen,GER,5,373,1,0,0,25,0.5,83.56,0,0,0
left_000030,Abdoul Kader Bamba,"FW,MF",Nantes,FRA,27,689,2,1,0,70,0.13,79.74,0,0,0
left_000031,Abdoul Kader Yaméogo,DF,Club Brugge,CIV,1,6,0,0,0,0,0,100,0,0,0
left_000032,Abdoul Koné,DF,Reims,FRA,3,193,0,0,0,100,0,62.35,0,0,0
left_000033,Abdoul Ouattara,"DF,MF",Strasbourg,FRA,6,369,1,0,0,50,0.25,84.24,0,0,0
left_000034,Abdoul Rachid Ayinde,"DF,MF",Gent,BFA,1,7,0,0,0,0,0,92.31,0,0,0
left_000035,Abdoul-Fessal Tapsoba,FW,Standard Liège,BFA,3,77,1,0,0,100,0.25,81.82,0,0,0
left_000036,Abdoulay Diaby,"FW,MF",Boavista,MLI,12,894,1,1,0,75,0.05,69.19,0,0,0
left_000037,Abdoulaye Bamba,DF,Angers,CIV,21,1364,0,0,0,54.55,0,85.85,0,0,0
left_000038,Abdoulaye Doucouré,"FW,MF, MF",Everton,MLI,57,4162,12,3,0,63.51,0.18,77.24,0,0,0
left_000039,Abdoulaye Faye,DF,Lorient,SEN,6,483,0,0,0,60,0,88.6,0,0,0
left_000040,Abdoulaye Niakhate Ndiaye,DF,Parma,SEN,3,270,0,0,0,42.86,0,83.09,0,0,0
left_000041,Abdoulaye Sissako,"MF, MF,DF","Zulte Waregem, Kortrijk",FRA,80,5831,3,3,0,56.96,0.07,77.29,0,0,0
left_000042,Abdoulaye Sylla,DF,Seraing,GUI,22,1637,0,0,0,57.5,0,74.09,0,0,0
