,id1,left_preview,id2,right_preview,matchness,score,embedding_similarity,key_overlap_score,rarity_score,bin,bin_reason,source_blockers_display,corner,label
0,left_000104,player_name: Adil Aouchiche | positions_position: MF | clubs_club: Lorient,right_045880,player_name: adil aouchiche | positions_position: AMC | clubs_club: Aberdeen FC,0.8056566613780545,0.5627274881006225,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,match
1,left_006780,player_name: Tani Oluwaseyi | positions_position: FW | clubs_club: Villarreal,right_068369,player_name: tani oluwaseyi | positions_position: ST | clubs_club: Villarreal CF,0.8386820476372716,0.637034607183861,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,match
2,left_007266,player_name: Wissam Ben Yedder | positions_position: FW | clubs_club: Monaco,right_008983,player_name: wissam ben yedder | positions_position: ST | clubs_club: Sakaryaspor,0.7956070311938033,0.5401158201860572,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,true,
3,left_006645,"player_name: Sofiane Boufal | positions_position: FW,MF, MF | clubs_club: Angers, Union SG",right_015776,player_name: sofiane boufal | positions_position: AMC | clubs_club: Union Saint-Gilloise,0.8555327419340686,0.6749486693516544,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
4,left_003062,player_name: Jan Paul van Hecke | positions_position: DF | clubs_club: Brighton,right_048131,player_name: jan paul van hecke | positions_position: DC | clubs_club: Brighton & Hove Albion,0.8970132502470811,0.7682798130559325,,1,0.16666666666666666,EASY_POS,EASY_POS,TokenBlocker,false,
5,left_000978,"player_name: Brayann Pereira | positions_position: DF | clubs_club: Auxerre, NEC Nijmegen",right_049834,player_name: brayann pereira | positions_position: DC | clubs_club: NEC Nijmegen,0.890879343615662,0.7544785231352397,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
6,left_005328,player_name: Nick Pope | positions_position: GK | clubs_club: Newcastle Utd,right_011865,player_name: nick pope | positions_position: GK | clubs_club: Newcastle United,0.9248598278449025,0.8309346126510305,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
7,left_001392,player_name: Damien Da Silva | positions_position: DF | clubs_club: Lyon,right_036671,player_name: enrique pereira da silva | positions_position: DR | clubs_club: BFC Dynamo,0.7799889441680486,0.5049751243781094,,1,0.03125,EASY_POS,EASY_POS,TokenBlocker,false,
8,left_003971,player_name: Kjell Scherpen | positions_position: GK | clubs_club: Vitesse,right_036385,player_name: kjell scherpen | positions_position: GK | clubs_club: Union Saint-Gilloise,0.9105099801617215,0.7986474553638734,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
9,left_001377,"player_name: Daan Huisman | positions_position: MF, FW | clubs_club: Vitesse",right_045392,player_name: daan huisman | positions_position: DM | clubs_club: FC Eindhoven,0.8587055104468039,0.682087398505309,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
10,left_004627,player_name: Mario Gila | positions_position: DF | clubs_club: Lazio,right_047900,player_name: mario gila | positions_position: DC | clubs_club: SS Lazio,0.8951538603279897,0.7640961857379768,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
11,left_002714,"player_name: Hjalmar Ekdal | positions_position: DF | clubs_club: Burnley, Groningen",right_030255,player_name: hjalmar ekdal | positions_position: DC | clubs_club: Burnley FC,0.8988079545293476,0.7723178976910321,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
12,left_007145,"player_name: Vincent Pichel | positions_position: MF,FW | clubs_club: Cambuur",right_060629,player_name: vincent pichel | positions_position: MC | clubs_club: Be Quick 1887,0.8579741246407914,0.6804417804417805,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
13,left_000786,"player_name: Ayouba Kosiah | positions_position: FW,DF | clubs_club: Beerschot",right_049703,player_name: ayouba kosiah | positions_position: ST | clubs_club: Beerschot VA,0.8156949002720146,0.585313525612033,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
14,left_001724,player_name: Diogo Costa | positions_position: GK | clubs_club: Porto,right_030981,player_name: diogo costa | positions_position: GK | clubs_club: FC Porto,0.9317864740750313,0.8465195666688204,,1,0.2,EASY_POS,EASY_POS,TokenBlocker,false,
