id1,left_preview,id2,right_preview,matchness,score,embedding_similarity,key_overlap_score,rarity_score,bin,bin_reason,source_blockers_display,corner,label
left_029930,player_name: Diego Ortega | positions_position: D (RC) | clubs_club: Tepic,right_001695,player_name: Diego Sánchez | positions_position: FW | clubs_club: UANL,0.7943422832311721,0.5372701372701373,,1,0.0007132667617689016,EASY_POS,EASY_POS,TokenBlocker,false,
left_004678,player_name: Santiago Bellini | positions_position: ST (C) | clubs_club: Juventud de Las Piedras,right_006443,player_name: Santiago Homenchenko | positions_position: MF | clubs_club: Pachuca,0.8288705318657009,0.6149586966978271,,1,0.002028397565922921,EASY_POS,EASY_POS,TokenBlocker,false,
left_160029,player_name: Andrew Skerritt | positions_position: GK | clubs_club: Athlone Town,right_000511,player_name: Andrew Moran | positions_position: FW | clubs_club: Brighton,0.833375732634992,0.6250953984287319,,1,0.0051813471502590676,EASY_POS,EASY_POS,TokenBlocker,false,
left_062963,player_name: Stephan Van De Brul | positions_position: D (C) | clubs_club: Ternesse Wommelgem,right_005089,player_name: Milan van Ewijk | positions_position: DF | clubs_club: Heerenveen,0.8116809669766135,0.5762821756973804,,1,0.001001001001001001,EASY_POS,EASY_POS,TokenBlocker,false,
left_074337,"player_name: Jaka Bijol | positions_position: D (C), DM | clubs_club: Udinese",right_003013,player_name: Jaka Bijol | positions_position: DF | clubs_club: Udinese,0.9438832772166106,0.8737373737373738,,1,0.05555555555555555,EASY_POS,EASY_POS,TokenBlocker,false,
left_049085,player_name: Daniel Kajzer | positions_position: GK | clubs_club: Arka,right_001453,"player_name: Daniel Karlsbakk | positions_position: FW,MF, FW | clubs_club: Heerenveen",0.7507688470651434,0.4392299058965725,,1,0.0006385696040868455,EASY_POS,EASY_POS,TokenBlocker,false,
left_153682,"player_name: Luke O'Nien | positions_position: D (RC), DM, M (C) | clubs_club: Sunderland",right_004405,player_name: Luke Shaw | positions_position: DF | clubs_club: Manchester Utd,0.8811285255069503,0.7325391823906382,,1,0.003205128205128205,EASY_POS,EASY_POS,TokenBlocker,false,
left_018833,player_name: Lucas Ronier | positions_position: AM (R) | clubs_club: CTB,right_004277,player_name: Lucas Calegari | positions_position: DF | clubs_club: Famalicão,0.7966401225660484,0.5424402757736091,,1,0.0007898894154818325,EASY_POS,EASY_POS,TokenBlocker,false,
left_076060,player_name: Ivan | positions_position: GK | clubs_club: Zenit,right_002934,player_name: Ivan Šunjić | positions_position: MF | clubs_club: Hertha BSC,0.7563151152376741,0.4517090092847668,,1,0.0016835016835016834,EASY_POS,EASY_POS,TokenBlocker,false,
left_047466,"player_name: Ezra van der Heiden | positions_position: AM (RC), ST (C) | clubs_club: De Graafschap",right_005017,"player_name: Micky van de Ven | positions_position: DF | clubs_club: Tottenham, Wolfsburg",0.8184397077184602,0.5914893423665354,,1,0.0005865102639296188,EASY_POS,EASY_POS,TokenBlocker,false,
