,id1,left_preview,id2,right_preview,matchness,score,embedding_similarity,key_overlap_score,rarity_score,bin,bin_reason,source_blockers_display,corner,label
0,left_044277,"player_name: Carlos Cuesta | positions_position: D (C), DM | clubs_club: KRC Genk",right_001105,player_name: Carlos Cuesta | positions_position: DF | clubs_club: Genk,0.9124318116566179,0.8029715762273902,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
1,left_043261,player_name: Fabian Bredlow | positions_position: GK | clubs_club: VfB Stuttgart,right_002063,player_name: Fabian Bredlow | positions_position: GK | clubs_club: Stuttgart,0.9946995295832505,0.9880739415623137,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
2,left_054035,player_name: Ismaël Kandouss | positions_position: D (C) | clubs_club: Union SG,right_002907,"player_name: Ismaël Kandouss | positions_position: MF, DF | clubs_club: Gent, Union SG",0.7579057462778392,0.4552879291251384,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
3,left_171843,player_name: Juan Carlos | positions_position: GK | clubs_club: Poblense,right_003660,player_name: Juan Carlos | positions_position: GK | clubs_club: Girona,0.9755957507895492,0.9450904392764858,,1,0.013888888888888888,EASY_POS,EASY_POS,TokenBlocker,false,
4,left_183855,"player_name: Serviliano Da Silva | positions_position: DM, M (C) | clubs_club: SM Caen",right_002235,"player_name: Florent da Silva | positions_position: MF | clubs_club: Volendam, RWDM",0.8934387706827527,0.7602372340361936,,1,0.009523809523809525,EASY_POS,EASY_POS,TokenBlocker,false,
5,left_065788,player_name: Ludovic Van der Jeught | positions_position: D (R) | clubs_club: SK Londerzeel,right_006606,"player_name: Silvester van der Water | positions_position: FW,MF | clubs_club: RKC Waalwijk, Zwolle, Cambuur",0.7533737588419549,0.4450909573943987,,1,0.008771929824561403,EASY_POS,EASY_POS,TokenBlocker,false,
6,left_054218,player_name: Jeffrey van der Heijden | positions_position: ST (C) | clubs_club: HFC,right_002641,player_name: Hannes Van der Bruggen | positions_position: MF | clubs_club: Cercle Brugge,0.7578795394771127,0.45522896382350375,,1,0.008771929824561403,EASY_POS,EASY_POS,TokenBlocker,false,
7,left_168691,player_name: Mitchell van Bergen | positions_position: M/AM (R) | clubs_club: Reims,right_006843,"player_name: Thom van Bergen | positions_position: FW,DF, FW | clubs_club: Groningen",0.8829036775113207,0.7365332744004714,,1,0.25,EASY_POS,EASY_POS,TokenBlocker,false,
8,left_187516,player_name: João Ferreira | positions_position: D (C) | clubs_club: Dumiense,right_003611,"player_name: João Ferreira | positions_position: DF,MF, DF | clubs_club: Udinese, Braga, Rio Ave",0.9329725748667441,0.8491882934501742,,1,0.16666666666666666,EASY_POS,EASY_POS,TokenBlocker,false,
9,left_058844,"player_name: Aske Sampers | positions_position: AM (RLC), ST (C) | clubs_club: Cercle Brugge U23",right_000743,"player_name: Aske Sampers | positions_position: FW,MF | clubs_club: Cercle Brugge",0.9465344277245783,0.879702462380301,,1,0.5,EASY_POS,EASY_POS,TokenBlocker,false,
