id1,left_preview,id2,right_preview,matchness,score,embedding_similarity,key_overlap_score,rarity_score,bin,bin_reason,source_blockers_display,corner,label
left_179450,player_name: André Costa Da Silva | positions_position: GK | left_right_foot: Right,right_010695,player_name: alessandro da silva | positions_position: AMC,0.665458293,0.24728115836149078,,1,0.007874016,CORNER,disagreement,TokenBlocker,FALSE,0
left_074912,player_name: Kellian van der Kaap | positions_position: D (C) | left_right_foot: Right,right_003122,player_name: aleksander van der spa | positions_position: DC | left_right_foot: right,0.736533252,0.4071998177261335,,1,0.005681818,CORNER,disagreement,TokenBlocker,FALSE,0
left_041537,player_name: Luiz Felipe | positions_position: GK | left_right_foot: Right,right_003946,player_name: luiz felipe | positions_position: MC,0.745025864,0.4263081947292473,,1,0.0625,CORNER,disagreement,TokenBlocker,TRUE,0
left_129499,"player_name: Lee Jin-Ho | positions_position: D/WB/AM (L), ST (C) | left_right_foot: Right",right_064453,player_name: jin ho lee | positions_position: ST,0.799149726,0.5480868838763575,,1,0.25,EASY_POS,EASY_POS,TokenBlocker,TRUE,0
left_098836,player_name: Jean-Pierre Da Sylva | positions_position: AM (RL) | left_right_foot: Right,right_005796,player_name: jean pierre la placa | positions_position: AMC,0.800021992,0.5500494826810616,,1,0.027777777777777776,EASY_POS,EASY_POS,TokenBlocker,FALSE,0
left_072609,player_name: Stijn Van Den Houte | positions_position: D (C) | left_right_foot: Right,right_049879,player_name: bas van den eynden | positions_position: DC | left_right_foot: right,0.806916251,0.5655615647305398,,1,0.008928571,EASY_POS,EASY_POS,TokenBlocker,FALSE,0
left_060873,player_name: Wout Van Den Nest | positions_position: GK | left_right_foot: Right,right_004561,player_name: bas van den brink | positions_position: DC | left_right_foot: right,0.8358935,0.6307603743251686,,1,0.009090909,EASY_POS,EASY_POS,TokenBlocker,FALSE,0
left_042822,"player_name: Jan-Arie van der Heijden | positions_position: D (C), DM, M (C) | left_right_foot: Left",right_059666,player_name: santiago van der putten | positions_position: DC | left_right_foot: right,0.851070856,0.6649094267760498,,1,0.005681818,EASY_POS,EASY_POS,TokenBlocker,FALSE,0
left_014635,"player_name: Juan Manuel Ortíz | positions_position: AM (RL), ST (C) | left_right_foot: Right",right_028025,player_name: juan manuel azconzabal | positions_position: DC | left_right_foot: left,0.865464314,0.6972947073566268,,1,0.009345794,EASY_POS,EASY_POS,TokenBlocker,FALSE,0
left_177081,"player_name: Juan Carlos | positions_position: AM (RLC), ST (C) | left_right_foot: Either",right_041526,player_name: juan carlos | positions_position: ML | left_right_foot: left,0.866347687,0.6992822966507176,,1,0.009708738,EASY_POS,EASY_POS,TokenBlocker,TRUE,0
