,id1,left_preview,id2,right_preview,matchness,score,embedding_similarity,key_overlap_score,rarity_score,bin,bin_reason,source_blockers_display,corner,label
0,left_105397,player_name: Guilherme | positions_position: D/WB/M (L) | left_right_foot: Left,right_055657,player_name: guilherme | positions_position: DC | left_right_foot: right,0.8128943758573388,0.5790123456790124,,1,0.022222222222222223,EASY_POS,EASY_POS,StandardBlocker,false,non_match
1,left_080545,player_name: Oleksiy Kovtun | positions_position: D (C) | left_right_foot: Right,right_031455,player_name: oleksiy kovtun | positions_position: DC | left_right_foot: right,0.9745604190048635,0.9427609427609428,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,false,
2,left_079235,player_name: Leonardo Stanzani | positions_position: AM (RC) | left_right_foot: Right,right_031082,player_name: leonardo stanzani | positions_position: ST | left_right_foot: left,0.9319117096894874,0.8468013468013469,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,false,
3,left_133782,player_name: Lachlan Wales | positions_position: M/AM (RL) | left_right_foot: Right,right_040380,player_name: lachlan wales | positions_position: AMR | left_right_foot: right,0.9100469717753668,0.7976056864945753,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,false,
4,left_170194,player_name: Emre Demir | positions_position: M/AM (C) | left_right_foot: Left,right_051175,player_name: emre demir | positions_position: AMC | left_right_foot: left,0.968824042898117,0.9298540965207632,,1,0.25,EASY_POS,EASY_POS,StandardBlocker,false,
5,left_013886,"player_name: Daniel Aguilar | positions_position: DM, M (C) | left_right_foot: Right",right_056446,player_name: daniel aguilar | positions_position: MC | left_right_foot: left,0.9320779814606974,0.8471754582865694,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,false,
6,left_041776,player_name: Miguel | positions_position: D (C) | left_right_foot: Right,right_068817,player_name: miguel | positions_position: DM | left_right_foot: right,0.9124878413767303,0.8030976430976431,,1,0.09090909090909091,EASY_POS,EASY_POS,StandardBlocker,false,
7,left_135530,"player_name: Rafinha | positions_position: DM, M (C) | left_right_foot: Right",right_013392,player_name: rafinha | positions_position: AMR | left_right_foot: right,0.9134297709606353,0.8052169846614292,,1,0.02631578947368421,EASY_POS,EASY_POS,StandardBlocker,false,
8,left_152262,"player_name: James McClean | positions_position: D/WB (L), M/AM (RL) | left_right_foot: Left",right_067428,player_name: james mcclean | positions_position: ML | left_right_foot: left,0.9110008466733613,0.799751905015063,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,false,
9,left_152222,"player_name: Kieran Dowell | positions_position: M (C), AM (RLC) | left_right_foot: Left",right_018324,player_name: kieran dowell | positions_position: AMC | left_right_foot: left,0.9506172839506173,0.8888888888888888,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,false,
10,left_173126,player_name: Rafael Fernandes | positions_position: D (C) | left_right_foot: Right,right_059699,player_name: rafael fernandes | positions_position: DC | left_right_foot: right,0.9745604190048635,0.9427609427609428,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,false,
11,left_187413,player_name: Alex | positions_position: D (C) | left_right_foot: Right,right_019667,player_name: alex | positions_position: AMC | left_right_foot: left,0.8300536226462153,0.6176206509539843,,1,0.05,EASY_POS,EASY_POS,StandardBlocker,false,
12,left_003680,player_name: Felipe Camargo | positions_position: D (LC) | left_right_foot: Left,right_052658,player_name: felipe camargo | positions_position: DC | left_right_foot: left,0.9486220226960967,0.8843995510662177,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,false,
13,left_047150,"player_name: Milan Hokke | positions_position: D (C), DM, M (C) | left_right_foot: Left",right_049630,player_name: milan hokke | positions_position: DC | left_right_foot: left,0.920875420875421,0.821969696969697,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,false,
14,left_014607,player_name: Isaac | positions_position: DM | left_right_foot: Right,right_003738,player_name: isaac | positions_position: AML | left_right_foot: right,0.9350143409402668,0.8537822671156005,,1,0.1111111111111111,EASY_POS,EASY_POS,StandardBlocker,false,
15,left_041436,player_name: Gabriel | positions_position: GK | left_right_foot: Right,right_034197,player_name: gabriel | positions_position: DC | left_right_foot: left,0.8368574635241302,0.6329292929292929,,1,0.022727272727272728,EASY_POS,EASY_POS,StandardBlocker,false,
