,id1,left_preview,id2,right_preview,matchness,score,embedding_similarity,key_overlap_score,rarity_score,bin,bin_reason,source_blockers_display,corner,label
0,left_105397,player_name: Guilherme | positions_position: D/WB/M (L) | left_right_foot: Left,right_055657,player_name: guilherme | positions_position: DC | left_right_foot: right,0.812894376,0.579012346,,1,0.022222222,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
1,left_080545,player_name: Oleksiy Kovtun | positions_position: D (C) | left_right_foot: Right,right_031455,player_name: oleksiy kovtun | positions_position: DC | left_right_foot: right,0.974560419,0.942760943,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
2,left_079235,player_name: Leonardo Stanzani | positions_position: AM (RC) | left_right_foot: Right,right_031082,player_name: leonardo stanzani | positions_position: ST | left_right_foot: left,0.93191171,0.846801347,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
3,left_133782,player_name: Lachlan Wales | positions_position: M/AM (RL) | left_right_foot: Right,right_040380,player_name: lachlan wales | positions_position: AMR | left_right_foot: right,0.910046972,0.797605686,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
4,left_170194,player_name: Emre Demir | positions_position: M/AM (C) | left_right_foot: Left,right_051175,player_name: emre demir | positions_position: AMC | left_right_foot: left,0.968824043,0.929854097,,1,0.25,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
5,left_013886,"player_name: Daniel Aguilar | positions_position: DM, M (C) | left_right_foot: Right",right_056446,player_name: daniel aguilar | positions_position: MC | left_right_foot: left,0.932077981,0.847175458,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
6,left_041776,player_name: Miguel | positions_position: D (C) | left_right_foot: Right,right_068817,player_name: miguel | positions_position: DM | left_right_foot: right,0.912487841,0.803097643,,1,0.090909091,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
7,left_135530,"player_name: Rafinha | positions_position: DM, M (C) | left_right_foot: Right",right_013392,player_name: rafinha | positions_position: AMR | left_right_foot: right,0.913429771,0.805216985,,1,0.026315789,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
8,left_152262,"player_name: James McClean | positions_position: D/WB (L), M/AM (RL) | left_right_foot: Left",right_067428,player_name: james mcclean | positions_position: ML | left_right_foot: left,0.911000847,0.799751905,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
9,left_152222,"player_name: Kieran Dowell | positions_position: M (C), AM (RLC) | left_right_foot: Left",right_018324,player_name: kieran dowell | positions_position: AMC | left_right_foot: left,0.950617284,0.888888889,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
10,left_173126,player_name: Rafael Fernandes | positions_position: D (C) | left_right_foot: Right,right_059699,player_name: rafael fernandes | positions_position: DC | left_right_foot: right,0.974560419,0.942760943,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
11,left_187413,player_name: Alex | positions_position: D (C) | left_right_foot: Right,right_019667,player_name: alex | positions_position: AMC | left_right_foot: left,0.830053623,0.617620651,,1,0.05,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
12,left_003680,player_name: Felipe Camargo | positions_position: D (LC) | left_right_foot: Left,right_052658,player_name: felipe camargo | positions_position: DC | left_right_foot: left,0.948622023,0.884399551,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
13,left_047150,"player_name: Milan Hokke | positions_position: D (C), DM, M (C) | left_right_foot: Left",right_049630,player_name: milan hokke | positions_position: DC | left_right_foot: left,0.920875421,0.821969697,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
14,left_014607,player_name: Isaac | positions_position: DM | left_right_foot: Right,right_003738,player_name: isaac | positions_position: AML | left_right_foot: right,0.935014341,0.853782267,,1,0.111111111,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
15,left_041436,player_name: Gabriel | positions_position: GK | left_right_foot: Right,right_034197,player_name: gabriel | positions_position: DC | left_right_foot: left,0.836857464,0.632929293,,1,0.022727273,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
16,left_041443,player_name: Franklin | positions_position: M/AM (C) | left_right_foot: Either,right_051887,player_name: franklin | positions_position: DC | left_right_foot: right,0.889609677,0.751621773,,1,0.333333333,EASY_POS,EASY_POS,StandardBlocker,FALSE,0
17,left_131157,player_name: Igor Rossi | positions_position: D (LC) | left_right_foot: Left,right_006011,player_name: igor rossi | positions_position: DC | left_right_foot: left,0.972565158,0.938271605,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
18,left_002851,"player_name: Owen Wolff | positions_position: DM, M (C) | left_right_foot: Right",right_057124,player_name: owen wolff | positions_position: MC,0.910379515,0.798353909,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
19,left_087117,player_name: Diego Brasili | positions_position: ST (C) | left_right_foot: Right,right_066173,player_name: diego brasili | positions_position: ST | left_right_foot: right,0.851353037,0.665544332,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
20,left_088739,player_name: Francesco Russo | positions_position: D/WB/M/AM (L) | left_right_foot: Right,right_007635,player_name: francesco russo | positions_position: AML | left_right_foot: right,0.822375704,0.600345334,,1,0.125,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
21,left_045598,player_name: Eduardo | positions_position: D (C) | left_right_foot: Right,right_043607,player_name: eduardo | positions_position: DR | left_right_foot: right,0.879506173,0.728888889,,1,0.03125,EASY_POS,EASY_POS,StandardBlocker,TRUE,0
22,left_044568,player_name: Sebastian Mielitz | positions_position: GK | left_right_foot: Right,right_034688,player_name: sebastian mielitz | positions_position: GK | left_right_foot: right,0.994014216,0.986531987,,1,0.5,EASY_POS,EASY_POS,StandardBlocker,TRUE,1
