Player,Nation,Born,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,Sh_Standard,SoT_Standard,FK_Standard,Cmp_Total,Att_Total,xAG,KP,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Tkl_Tackles,TklW_Tackles,Sh_Blocks,Int,Clr,Err,GA,SoTA,Saves,CS,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Gls_Per,Ast_Per,xG_Per,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Cmp_percent_Total,GA90,Save_percent,CS_Percent,Save_percent_Penalty
Aaron Anselmino,ARG,2005.0,['Dortmund'],['DF'],1,75.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,78,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59,0.0,0.0,0.0,0.0
Aaron Cresswell,ENG,1989.0,['West Ham'],"['DF', 'DF,FW']",39,2671.0,0,1,1,0,0,0,4,0,0.3,0.3,4.1000000000000005,4.4,9.0,1.0,4.0,1381,1756,4.1000000000000005,45,11.0,12.0,3.0,144.0,0.0,0.0,0.0,24,13,14,30,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,11.11,0.0,0.0,78.64,0.0,0.0,0.0,0.0
Aaron Hickey,SCO,2002.0,['Brentford'],['DF'],39,2726.0,0,1,1,0,0,0,13,0,0.6000000000000001,0.6000000000000001,0.5,1.1,18.0,3.0,0.0,975,1159,0.5,7,31.0,53.0,1.0,32.0,0.0,1.0,0.0,57,36,10,20,45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,16.67,0.0,0.0,84.12,0.0,0.0,0.0,0.0
Aaron Malouda,FRA,2005.0,['Lille'],['FW'],1,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Meijers,NED,1987.0,"['RKC Waalwijk', ""Sparta R'dam""]",['DF'],58,3353.0,0,6,6,0,0,0,8,1,0.4,0.4,4.2,4.6,11.0,2.0,2.0,1504,2102,4.2,42,34.0,43.0,1.0,188.0,0.0,2.0,0.0,87,44,17,44,110,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.01,18.18,0.0,0.0,71.55,0.0,0.0,0.0,0.0
Aaron Mejía Montoya,MEX,2001.0,['Tijuana'],"['DF,MF', 'DF']",41,2521.0,0,1,1,0,0,0,4,0,0.30000000000000004,0.30000000000000004,1.7,2.0,11.0,0.0,0.0,979,1231,1.7,17,40.0,32.0,2.0,31.0,0.0,1.0,0.0,48,34,7,19,68,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,79.53,0.0,0.0,0.0,0.0
Aaron Ramsdale,ENG,1998.0,['Arsenal'],['GK'],44,3960.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892,1299,0.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,23,8,48.0,150.0,103.0,16.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,68.67,1.09,68.67,36.36,0.0
Aaron Ramsey,WAL,1990.0,"['Burnley', 'Nice']","['MF,FW', 'MF']",41,2111.0,1,1,2,1,0,0,4,0,2.8,2.8,2.2,5.0,28.0,8.0,1.0,1033,1239,2.2,29,30.0,21.0,4.0,64.0,1.0,1.0,0.0,64,39,6,18,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.12,28.57,0.04,0.12,83.37,0.0,0.0,0.0,0.0
Aaron Seydel,GER,1996.0,['Darmstadt 98'],['FW'],16,619.0,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,14.0,6.0,0.0,110,190,0.7,9,9.0,7.0,2.0,1.0,0.0,0.0,0.0,3,2,2,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,42.86,0.07,0.17,57.89,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,COD,1997.0,"['West Ham', 'Manchester Utd']",['DF'],43,3395.0,0,2,2,0,0,0,6,0,1.3,1.3,2.6,3.9000000000000004,13.0,3.0,0.0,1631,1947,2.6,29,28.0,13.0,0.0,35.0,0.0,1.0,0.0,83,51,23,64,115,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,23.08,0.0,0.0,83.77,0.0,0.0,0.0,0.0
