Player_Name,Nationality_Full,Position_FBref,Club_FBref,Matches_Played,Minutes_Played,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,TklW_Percent
Aaron Anselmino,Argentina,DF,['Dortmund'],1,75.0,0,0,0,0.0,93.59,100.0
Aaron Cresswell,England,DF,['West Ham'],39,2671.0,0,1,0,0.0,78.64,54.17
Aaron Hickey,Scotland,DF,['Brentford'],39,2726.0,0,1,0,0.0,84.12,63.16
Aaron Malouda,France,FW,['Lille'],1,1.0,0,0,0,0.0,0.0,0.0
Aaron Meijers,Netherlands,DF,"['RKC Waalwijk', ""Sparta R'dam""]",58,3353.0,0,6,0,0.0,71.55,50.57
Aaron Mejía Montoya,Mexico,DF,['Tijuana'],41,2521.0,0,1,0,0.0,79.53,70.83
Aaron Ramsdale,England,GK,['Arsenal'],44,3960.0,0,0,0,0.0,68.67,100.0
Aaron Ramsey,Wales,MF,"['Burnley', 'Nice']",41,2111.0,1,1,0,0.04,83.37,60.94
Aaron Seydel,Germany,FW,['Darmstadt 98'],16,619.0,1,0,0,0.07,57.89,66.67
Aaron Wan-Bissaka,Congo DR,DF,"['West Ham', 'Manchester Utd']",43,3395.0,0,2,0,0.0,83.77,61.45
Aaron Zehnter,Germany,DF,"['Augsburg', 'Wolfsburg']",4,181.0,1,0,0,0.5,75.7,50.0
Aarón Arredondo,Mexico,MF,['América'],2,179.0,0,1,0,0.0,90.48,66.67
Aarón Escandell,Spain,GK,"['Oviedo', 'Las Palmas']",9,783.0,0,0,0,0.0,69.64,0.0
Aarón Martín,Spain,DF,"['Genoa', 'Mainz 05']",55,3666.0,5,4,0,0.2,72.27,60.27
Abakar Sylla,CIV,DF,"['Strasbourg', 'Club Brugge']",39,3074.0,2,0,0,0.1,86.93,45.68
Abass Issah,GHA,Other,['Chaves'],33,1680.0,4,2,0,0.1,73.15,41.18
Abbas Ibrahim,NGA,Other,['Paços de Ferreira'],7,328.0,0,0,0,0.0,89.5,66.67
Abdallah Sima,SEN,MF,"['Angers', 'Lens']",35,1881.0,5,1,0,0.13,73.06,59.09
Abde Ezzalzouli,MAR,FW,"['Betis', 'Osasuna', 'Barcelona']",59,2601.0,6,3,0,0.07,67.16,70.59
Abde Rebbach,ALG,MF,['Alavés'],28,968.0,1,0,0,0.04,59.59,37.5
Abdel Abqar,MAR,DF,"['Getafe', 'Alavés']",32,2699.0,0,1,0,0.0,72.9,55.77
