Player,Nation,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,PK,Tkl_Tackles,TklW_Tackles,G_per_Sh_Standard,Cmp_percent_Total,Save_percent,CS_Percent,Save_percent_Penalty
Aaron Anselmino,ARG,['Dortmund'],['DF'],1,75.0,0,0,0,2,2,0.0,93.59,0.0,0.0,0.0
Aaron Cresswell,ENG,['West Ham'],"['DF', 'DF,FW']",39,2671.0,0,1,0,24,13,0.0,78.64,0.0,0.0,0.0
Aaron Hickey,SCO,['Brentford'],['DF'],39,2726.0,0,1,0,57,36,0.0,84.12,0.0,0.0,0.0
Aaron Malouda,FRA,['Lille'],['FW'],1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Aaron Meijers,NED,"['RKC Waalwijk', ""Sparta R'dam""]",['DF'],58,3353.0,0,6,0,87,44,0.0,71.55,0.0,0.0,0.0
Aaron Mejía Montoya,MEX,['Tijuana'],"['DF,MF', 'DF']",41,2521.0,0,1,0,48,34,0.0,79.53,0.0,0.0,0.0
Aaron Ramsdale,ENG,['Arsenal'],['GK'],44,3960.0,0,0,0,1,1,0.0,68.67,68.67,36.36,0.0
Aaron Ramsey,WAL,"['Burnley', 'Nice']","['MF,FW', 'MF']",41,2111.0,1,1,0,64,39,0.04,83.37,0.0,0.0,0.0
Aaron Seydel,GER,['Darmstadt 98'],['FW'],16,619.0,1,0,0,3,2,0.07,57.89,0.0,0.0,0.0
Aaron Wan-Bissaka,COD,"['West Ham', 'Manchester Utd']",['DF'],43,3395.0,0,2,0,83,51,0.0,83.77,0.0,0.0,0.0
Aaron Zehnter,GER,"['Augsburg', 'Wolfsburg']",['DF'],4,181.0,1,0,0,2,1,0.5,75.7,0.0,0.0,0.0
Aarón Arredondo,MEX,['América'],['MF'],2,179.0,0,1,0,3,2,0.0,90.48,0.0,0.0,0.0
Aarón Escandell,ESP,"['Oviedo', 'Las Palmas']",['GK'],9,783.0,0,0,0,0,0,0.0,69.64,69.81,11.11,100.0
Aarón Martín,ESP,"['Genoa', 'Mainz 05']",['DF'],55,3666.0,5,4,0,73,44,0.2,72.27,0.0,0.0,0.0
Abakar Sylla,CIV,"['Strasbourg', 'Club Brugge']",['DF'],39,3074.0,2,0,0,81,37,0.1,86.93,0.0,0.0,0.0
Abass Issah,GHA,['Chaves'],"['MF,FW', 'FW,MF']",33,1680.0,4,2,0,17,7,0.1,73.15,0.0,0.0,0.0
Abbas Ibrahim,NGA,['Paços de Ferreira'],"['MF,DF']",7,328.0,0,0,0,6,4,0.0,89.5,0.0,0.0,0.0
Abdallah Sima,SEN,"['Angers', 'Lens']","['MF', 'FW']",35,1881.0,5,1,0,22,13,0.13,73.06,0.0,0.0,0.0
Abde Ezzalzouli,MAR,"['Betis', 'Osasuna', 'Barcelona']","['FW,MF', 'FW']",59,2601.0,6,3,0,51,36,0.07,67.16,0.0,0.0,0.0
Abde Rebbach,ALG,['Alavés'],"['FW,MF', 'MF']",28,968.0,1,0,0,16,6,0.04,59.59,0.0,0.0,0.0
Abdel Abqar,MAR,"['Getafe', 'Alavés']",['DF'],32,2699.0,0,1,0,52,29,0.0,72.9,0.0,0.0,0.0
Abdelhamid Ait Boudlal,MAR,['Rennes'],['DF'],2,75.0,0,0,0,1,1,0.0,84.85,0.0,0.0,0.0
Abdelhamid Sabiri,MAR,['Sampdoria'],"['MF,FW']",18,1069.0,2,0,1,18,7,0.06,67.25,0.0,0.0,0.0
Abdelkahar Kadri,ALG,['Kortrijk'],"['MF,FW']",66,5162.0,9,10,1,145,78,0.09,76.67,0.0,0.0,0.0
Abdellah Baallal,MAR,['Clermont Foot'],['MF'],1,4.0,0,0,0,0,0,0.0,75.0,0.0,0.0,0.0
Abdellah Raihani,MAR,['Atlético Madrid'],['FW'],1,10.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Abdenego Nankishi,GER,['Heracles Almelo'],['FW'],10,347.0,3,1,0,13,8,0.75,73.08,0.0,0.0,0.0
Abdou Diallo,SEN,['RB Leipzig'],"['DF,MF']",8,478.0,1,0,0,6,5,0.25,84.78,0.0,0.0,0.0
Abdou Harroui,NED,"['Hellas Verona', 'Sassuolo', 'Frosinone']","['MF,FW', 'MF']",43,1736.0,5,3,1,42,19,0.11,80.61,0.0,0.0,0.0
Abdoul Coulibaly,GER,['Werder Bremen'],['DF'],5,373.0,1,0,0,4,1,0.5,83.56,0.0,0.0,0.0
Abdoul Kader Bamba,FRA,['Nantes'],"['FW,MF']",27,689.0,2,1,0,10,7,0.13,79.74,0.0,0.0,0.0
Abdoul Kader Yaméogo,CIV,['Club Brugge'],['DF'],1,6.0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0
Abdoul Koné,FRA,['Reims'],['DF'],3,193.0,0,0,0,7,7,0.0,62.35,0.0,0.0,0.0
Abdoul Ouattara,FRA,['Strasbourg'],"['DF,MF']",6,369.0,1,0,0,2,1,0.25,84.24,0.0,0.0,0.0
Abdoul Rachid Ayinde,BFA,['Gent'],"['DF,MF']",1,7.0,0,0,0,0,0,0.0,92.31,0.0,0.0,0.0
Abdoul-Fessal Tapsoba,BFA,['Standard Liège'],['FW'],3,77.0,1,0,0,1,1,0.25,81.82,0.0,0.0,0.0
Abdoulay Diaby,MLI,['Boavista'],"['FW,MF']",12,894.0,1,1,0,4,3,0.05,69.19,0.0,0.0,0.0
Abdoulaye Bamba,CIV,['Angers'],['DF'],21,1364.0,0,0,0,22,12,0.0,85.85,0.0,0.0,0.0
Abdoulaye Doucouré,MLI,['Everton'],"['FW,MF', 'MF']",57,4162.0,12,3,0,74,47,0.18,77.24,0.0,0.0,0.0
Abdoulaye Faye,SEN,['Lorient'],['DF'],6,483.0,0,0,0,10,6,0.0,88.6,0.0,0.0,0.0
Abdoulaye Niakhate Ndiaye,SEN,['Parma'],['DF'],3,270.0,0,0,0,7,3,0.0,83.09,0.0,0.0,0.0
Abdoulaye Sissako,FRA,"['Zulte Waregem', 'Kortrijk']","['MF', 'MF,DF']",80,5831.0,3,3,0,158,90,0.07,77.29,0.0,0.0,0.0
Abdoulaye Sylla,GUI,['Seraing'],['DF'],22,1637.0,0,0,0,40,23,0.0,74.09,0.0,0.0,0.0
Abdoulaye Touré,GUI,['Le Havre'],['MF'],35,2581.0,2,0,2,51,31,0.06,83.36,0.0,0.0,0.0
Abdoulie Ceesay,GAM,['St. Pauli'],"['FW,DF']",2,27.0,0,0,0,0,0,0.0,80.0,0.0,0.0,0.0
Abdu Conté,POR,['Troyes'],['DF'],19,1315.0,1,2,0,25,17,0.25,78.38,0.0,0.0,0.0
Abdukodir Khusanov,UZB,"['Manchester City', 'Lens']",['DF'],15,1037.0,0,0,0,28,16,0.0,85.86,0.0,0.0,0.0
Abdul Awudu,GHA,['Vizela'],"['FW,MF']",6,185.0,0,0,0,4,3,0.0,79.25,0.0,0.0,0.0
Abdul Fatawu Issahaku,GHA,['Sporting CP'],"['DF,MF']",6,118.0,0,0,0,1,0,0.0,61.43,0.0,0.0,0.0
Abdul Mumin,GHA,['Rayo Vallecano'],['DF'],36,2616.0,1,0,0,30,19,0.08,78.76,0.0,0.0,0.0
Abdul-Aziz Yakubu,GHA,['Rio Ave'],['FW'],33,2400.0,13,5,6,6,5,0.38,66.15,0.0,0.0,0.0
