id1,id2,score,notes
FBRef_006630,TM_020106,0.981333333,comparators=4
FBRef_002847,TM_043828,0.976666667,comparators=4
FBRef_001432,TM_036376,0.976666667,comparators=4
FBRef_000508,TM_047255,0.976666667,comparators=4
FBRef_004861,TM_002400,0.975878788,comparators=4
FBRef_001094,TM_060281,0.975878788,comparators=4
FBRef_002280,TM_005234,0.975878788,comparators=4
FBRef_004919,TM_033885,0.973333333,comparators=4
FBRef_004225,TM_010305,0.973333333,comparators=4
FBRef_000524,TM_033537,0.973333333,comparators=4
FBRef_006830,TM_003714,0.973333333,comparators=4
FBRef_006940,TM_044593,0.973333333,comparators=4
FBRef_004524,TM_013629,0.973333333,comparators=4
FBRef_006740,TM_033714,0.973333333,comparators=4
FBRef_006022,TM_012361,0.973333333,comparators=4
FBRef_005342,TM_035284,0.973,comparators=4
FBRef_005340,TM_004878,0.972444444,comparators=4
FBRef_001473,TM_028397,0.972444444,comparators=4
FBRef_006975,TM_062471,0.971809524,comparators=4
FBRef_002586,TM_059095,0.971666667,comparators=4
FBRef_000387,TM_001725,0.971666667,comparators=4
FBRef_001883,TM_034781,0.970666667,comparators=4
FBRef_002145,TM_030013,0.970666667,comparators=4
FBRef_001166,TM_039605,0.970666667,comparators=4
FBRef_005920,TM_053943,0.970424242,comparators=4
FBRef_006419,TM_027715,0.970222222,comparators=4
FBRef_004569,TM_036056,0.970041467,comparators=4
FBRef_005006,TM_027716,0.96969697,comparators=4
FBRef_004592,TM_016327,0.96969697,comparators=4
FBRef_004735,TM_064235,0.969583333,comparators=4
FBRef_005328,TM_011865,0.969583333,comparators=4
FBRef_004262,TM_026721,0.969333333,comparators=4
FBRef_003087,TM_035206,0.969333333,comparators=4
FBRef_005458,TM_020959,0.969047619,comparators=4
FBRef_006619,TM_040553,0.969047619,comparators=4
FBRef_000296,TM_067973,0.969047619,comparators=4
FBRef_007267,TM_019826,0.968833333,comparators=4
FBRef_005329,TM_033895,0.968333333,comparators=4
FBRef_000298,TM_020065,0.968,comparators=4
FBRef_003280,TM_035230,0.96745098,comparators=4
FBRef_003435,TM_005917,0.967333333,comparators=4
FBRef_007179,TM_007399,0.966666667,comparators=4
FBRef_000898,TM_058473,0.966666667,comparators=4
FBRef_001096,TM_030891,0.965897436,comparators=4
FBRef_003046,TM_045588,0.965833333,comparators=4
FBRef_001427,TM_029369,0.965378788,comparators=4
FBRef_003378,TM_031768,0.965238095,comparators=4
FBRef_005564,TM_038580,0.964242424,comparators=4
FBRef_001268,TM_037454,0.964166667,comparators=4
FBRef_004305,TM_023146,0.964102564,comparators=4
FBRef_004451,TM_033155,0.964,comparators=4
FBRef_001172,TM_014349,0.963666667,comparators=4
FBRef_006683,TM_067431,0.963333333,comparators=4
FBRef_003827,TM_069195,0.963333333,comparators=4
FBRef_002063,TM_011430,0.963076923,comparators=4
FBRef_006928,TM_012379,0.962807018,comparators=4
FBRef_007213,TM_037214,0.962666667,comparators=4
FBRef_000493,TM_049438,0.962222222,comparators=4
FBRef_003984,TM_006898,0.962222222,comparators=4
FBRef_001591,TM_018326,0.962083333,comparators=4
FBRef_003043,TM_064094,0.962083333,comparators=4
FBRef_005488,TM_060163,0.962083333,comparators=4
FBRef_004852,TM_052163,0.961568627,comparators=4
FBRef_001449,TM_066985,0.961568627,comparators=4
FBRef_004551,TM_062689,0.961111111,comparators=4
FBRef_000310,TM_008960,0.961111111,comparators=4
FBRef_003187,TM_033146,0.960927318,comparators=4
FBRef_005024,TM_023134,0.960833333,comparators=4
FBRef_004009,TM_051487,0.960701754,comparators=4
FBRef_003100,TM_059111,0.960606061,comparators=4
FBRef_004279,TM_036387,0.960177432,comparators=4
FBRef_004077,TM_043254,0.96,comparators=4
FBRef_001062,TM_013835,0.959487179,comparators=4
FBRef_003813,TM_022621,0.959002849,comparators=4
FBRef_004591,TM_067223,0.958833333,comparators=4
FBRef_006152,TM_054631,0.957179487,comparators=4
FBRef_001083,TM_059426,0.956715686,comparators=4
FBRef_005732,TM_012251,0.955416667,comparators=4
FBRef_005054,TM_008021,0.955384615,comparators=4
FBRef_003060,TM_006403,0.955166667,comparators=4
FBRef_000755,TM_023339,0.954257246,comparators=4
FBRef_002476,TM_028665,0.953897436,comparators=4
FBRef_005430,TM_042294,0.952992424,comparators=4
FBRef_005743,TM_041681,0.951859992,comparators=4
FBRef_000407,TM_006223,0.951368421,comparators=4
FBRef_005334,TM_022903,0.951111111,comparators=4
FBRef_002585,TM_064061,0.950909091,comparators=4
FBRef_001303,TM_009741,0.95047619,comparators=4
FBRef_004453,TM_043319,0.95047619,comparators=4
FBRef_005180,TM_012800,0.949544137,comparators=4
