id1,id2,score,notes
FM_000802,TM_015054,0.992166667,comparators=7
FM_000158,TM_063428,0.992166667,comparators=7
FM_091129,TM_033788,0.990666667,comparators=7
FM_116571,TM_032980,0.990666667,comparators=7
FM_042540,TM_011139,0.990666667,comparators=7
FM_168570,TM_032837,0.990666667,comparators=7
FM_083442,TM_022764,0.990666667,comparators=7
FM_168309,TM_036319,0.990666667,comparators=7
FM_153699,TM_017830,0.988791667,comparators=7
FM_169368,TM_017600,0.988333333,comparators=7
FM_169381,TM_030718,0.988333333,comparators=7
FM_175638,TM_036794,0.988333333,comparators=7
FM_073857,TM_012948,0.988333333,comparators=7
FM_108031,TM_008054,0.988333333,comparators=7
FM_111189,TM_043272,0.988333333,comparators=7
FM_178233,TM_032240,0.988333333,comparators=7
FM_131654,TM_043175,0.988333333,comparators=7
FM_046607,TM_006137,0.988333333,comparators=7
FM_169304,TM_005218,0.988333333,comparators=7
FM_008247,TM_035626,0.988333333,comparators=7
FM_108038,TM_015591,0.988333333,comparators=7
FM_106124,TM_031648,0.988333333,comparators=7
FM_172770,TM_014854,0.988333333,comparators=7
FM_151756,TM_005255,0.988333333,comparators=7
FM_026063,TM_035173,0.988333333,comparators=7
FM_123591,TM_067029,0.988333333,comparators=7
FM_105536,TM_068906,0.988333333,comparators=7
FM_115864,TM_002214,0.988333333,comparators=7
FM_174075,TM_000941,0.988333333,comparators=7
FM_107003,TM_013564,0.988333333,comparators=7
FM_175374,TM_016667,0.988333333,comparators=7
FM_055377,TM_052585,0.988333333,comparators=7
FM_168091,TM_029036,0.988333333,comparators=7
FM_042467,TM_022153,0.988333333,comparators=7
FM_105599,TM_021435,0.988333333,comparators=7
FM_112047,TM_031457,0.988333333,comparators=7
FM_168425,TM_010582,0.988333333,comparators=7
FM_184842,TM_003828,0.988333333,comparators=7
FM_112781,TM_068952,0.988333333,comparators=7
FM_105816,TM_002901,0.988333333,comparators=7
FM_172566,TM_008451,0.988333333,comparators=7
FM_112056,TM_017873,0.988333333,comparators=7
FM_110731,TM_035497,0.988333333,comparators=7
FM_117223,TM_051851,0.988333333,comparators=7
FM_110548,TM_029196,0.988333333,comparators=7
FM_111916,TM_056103,0.988333333,comparators=7
FM_111748,TM_059754,0.988333333,comparators=7
FM_116562,TM_052590,0.988333333,comparators=7
FM_171449,TM_016599,0.988333333,comparators=7
FM_113230,TM_008048,0.988333333,comparators=7
FM_169231,TM_030178,0.988333333,comparators=7
FM_179078,TM_049465,0.988333333,comparators=7
FM_171716,TM_055312,0.988333333,comparators=7
FM_107462,TM_061431,0.988333333,comparators=7
FM_107540,TM_013024,0.988333333,comparators=7
FM_001386,TM_030891,0.988333333,comparators=7
FM_109227,TM_016957,0.988333333,comparators=7
FM_106848,TM_041759,0.988333333,comparators=7
FM_171334,TM_056501,0.988333333,comparators=7
FM_108342,TM_007346,0.988333333,comparators=7
FM_169477,TM_005261,0.988333333,comparators=7
FM_106658,TM_018291,0.988333333,comparators=7
FM_171965,TM_036739,0.988333333,comparators=7
FM_170119,TM_042830,0.988333333,comparators=7
FM_065652,TM_019003,0.988333333,comparators=7
FM_108768,TM_017883,0.988333333,comparators=7
FM_108776,TM_009987,0.988333333,comparators=7
FM_060774,TM_057292,0.988333333,comparators=7
FM_169134,TM_019837,0.988333333,comparators=7
FM_173987,TM_039151,0.988333333,comparators=7
FM_169186,TM_029501,0.988333333,comparators=7
FM_049061,TM_017781,0.988333333,comparators=7
FM_107346,TM_033581,0.988333333,comparators=7
FM_151640,TM_009199,0.988166667,comparators=7
FM_075335,TM_046068,0.987939394,comparators=7
FM_073702,TM_010692,0.987939394,comparators=7
FM_073754,TM_002400,0.987939394,comparators=7
FM_075771,TM_005234,0.987939394,comparators=7
FM_073973,TM_016327,0.987939394,comparators=7
FM_128372,TM_026390,0.987939394,comparators=7
FM_128324,TM_028338,0.987939394,comparators=7
FM_073851,TM_041029,0.987939394,comparators=7
FM_076577,TM_046064,0.987939394,comparators=7
FM_152132,TM_017618,0.987666667,comparators=7
FM_074761,TM_032329,0.987666667,comparators=7
FM_077189,TM_042987,0.987333333,comparators=7
FM_076245,TM_026909,0.987333333,comparators=7
FM_081162,TM_058221,0.987333333,comparators=7
FM_075037,TM_064360,0.987333333,comparators=7
FM_077070,TM_030298,0.987333333,comparators=7
FM_154056,TM_029119,0.987333333,comparators=7
FM_075511,TM_026116,0.987333333,comparators=7
FM_175549,TM_034107,0.987222222,comparators=7
FM_061423,TM_035095,0.987,comparators=7
FM_084857,TM_039266,0.986820513,comparators=7
FM_170470,TM_046195,0.986754386,comparators=7
FM_055707,TM_019727,0.986754386,comparators=7
FM_151897,TM_016928,0.986666667,comparators=7
FM_001758,TM_006334,0.986666667,comparators=7
FM_042432,TM_030077,0.986666667,comparators=7
FM_042354,TM_011405,0.986666667,comparators=7
FM_045084,TM_046627,0.986666667,comparators=7
FM_044623,TM_009034,0.986666667,comparators=7
FM_106588,TM_004543,0.986666667,comparators=7
FM_042349,TM_013431,0.986666667,comparators=7
FM_042580,TM_007873,0.986666667,comparators=7
FM_042697,TM_007807,0.986666667,comparators=7
FM_042607,TM_011695,0.986666667,comparators=7
FM_125934,TM_037096,0.986666667,comparators=7
FM_048670,TM_010542,0.986666667,comparators=7
FM_151837,TM_021242,0.986666667,comparators=7
FM_112693,TM_039323,0.986666667,comparators=7
FM_042466,TM_030898,0.986666667,comparators=7
FM_108470,TM_011095,0.986666667,comparators=7
FM_054599,TM_019829,0.986666667,comparators=7
FM_042854,TM_023187,0.986666667,comparators=7
FM_046410,TM_014761,0.986666667,comparators=7
FM_151810,TM_025702,0.986666667,comparators=7
FM_114600,TM_039970,0.986666667,comparators=7
FM_042455,TM_029860,0.986666667,comparators=7
FM_074358,TM_010579,0.986666667,comparators=7
FM_106748,TM_052728,0.986666667,comparators=7
FM_050147,TM_066276,0.986666667,comparators=7
FM_046357,TM_057891,0.986666667,comparators=7
FM_042884,TM_012222,0.986666667,comparators=7
FM_046845,TM_049138,0.986666667,comparators=7
FM_046772,TM_009838,0.986666667,comparators=7
FM_084851,TM_037890,0.986666667,comparators=7
FM_153613,TM_034690,0.986666667,comparators=7
FM_055463,TM_029798,0.986666667,comparators=7
FM_113867,TM_034865,0.986666667,comparators=7
FM_044590,TM_016132,0.986666667,comparators=7
FM_124279,TM_000773,0.986666667,comparators=7
FM_045182,TM_026621,0.986666667,comparators=7
FM_130774,TM_044413,0.986666667,comparators=7
FM_044671,TM_015045,0.986666667,comparators=7
FM_106097,TM_046654,0.986666667,comparators=7
FM_060533,TM_035066,0.986666667,comparators=7
FM_044547,TM_025938,0.986666667,comparators=7
FM_170312,TM_045806,0.986666667,comparators=7
FM_169286,TM_045144,0.986666667,comparators=7
FM_044768,TM_023566,0.986666667,comparators=7
FM_055550,TM_059747,0.986666667,comparators=7
FM_042378,TM_007529,0.986666667,comparators=7
FM_057022,TM_040244,0.986666667,comparators=7
FM_153812,TM_042746,0.986666667,comparators=7
FM_044417,TM_060488,0.986666667,comparators=7
FM_045098,TM_011937,0.986666667,comparators=7
FM_045165,TM_010670,0.986666667,comparators=7
FM_045222,TM_010616,0.986666667,comparators=7
FM_047707,TM_042479,0.986666667,comparators=7
FM_042712,TM_009741,0.986666667,comparators=7
FM_042693,TM_027409,0.986666667,comparators=7
FM_043567,TM_033146,0.986666667,comparators=7
FM_000565,TM_004544,0.986666667,comparators=7
